"","zSensr","defl"
"262",4.68486582860805e-09,4.86917350883687e-09
"263",4.68441108125717e-09,4.82047157746024e-09
"264",4.68395633390628e-09,4.7949968440264e-09
"265",4.68344474313653e-09,4.81588235956565e-09
"266",4.68298999578565e-09,4.85123807791865e-09
"267",4.6824784050159e-09,4.8516595185788e-09
"268",4.68196681424615e-09,4.90434182154331e-09
"269",4.68139838005754e-09,4.90008034148559e-09
"270",4.6808867892878e-09,4.84220041840899e-09
"271",4.68031835509919e-09,4.83039919174644e-09
"272",4.67974992091058e-09,4.8566235477665e-09
"273",4.67918148672197e-09,4.84196593930619e-09
"274",4.67861305253336e-09,4.79878980996773e-09
"275",4.6779877749259e-09,4.82487383379748e-09
"276",4.67741934073729e-09,4.91211515907253e-09
"277",4.67679406312982e-09,4.92574248056599e-09
"278",4.67616878552235e-09,4.90354601367926e-09
"279",4.67548666449602e-09,4.89329021746698e-09
"280",4.67480454346969e-09,4.87132734150464e-09
"281",4.67412242244336e-09,4.93225194020397e-09
"282",4.67344030141703e-09,4.94817342655551e-09
"283",4.6727581803907e-09,4.86912643538062e-09
"284",4.67201921594551e-09,4.88036544510351e-09
"285",4.67128025150032e-09,4.89722395968784e-09
"286",4.67054128705513e-09,4.85006745876149e-09
"287",4.66974547919108e-09,4.82941597823583e-09
"288",4.66900651474589e-09,4.81761475157327e-09
"289",4.66815386346298e-09,4.77776396223817e-09
"290",4.66735805559892e-09,4.8127919427543e-09
"291",4.66650540431601e-09,4.7927022350791e-09
"292",4.66570959645196e-09,4.74484318502277e-09
"293",4.66480010175019e-09,4.77851314073519e-09
"294",4.66394745046728e-09,4.77640593743445e-09
"295",4.6630379557655e-09,4.78600581388378e-09
"296",4.66212846106373e-09,4.82791762124180e-09
"297",4.6611621229431e-09,4.79495021465937e-09
"298",4.66025262824132e-09,4.80183359741204e-09
"299",4.65928629012069e-09,4.89160445482639e-09
"300",4.65831995200006e-09,4.87479301369831e-09
"301",4.65729677046056e-09,4.8192072554798e-09
"302",4.65627358892107e-09,4.80085038390143e-09
"303",4.65525040738157e-09,4.8425747856129e-09
"304",4.65417038242322e-09,4.8592925239177e-09
"305",4.65309035746486e-09,4.8318042900064e-09
"306",4.65201033250651e-09,4.87970996942977e-09
"307",4.65093030754815e-09,4.90677720677013e-09
"308",4.64979343917094e-09,4.9316897232643e-09
"309",4.64865657079372e-09,4.93005103407995e-09
"310",4.6475197024165e-09,4.90668305985764e-09
"311",4.64632599062043e-09,4.9445207928045e-09
"312",4.64513227882435e-09,4.9269601731794e-09
"313",4.64393856702827e-09,4.91993557005799e-09
"314",4.64274485523219e-09,4.96653029813388e-09
"315",4.64149430001726e-09,4.95243490661323e-09
"316",4.64024374480232e-09,4.92920815275966e-09
"317",4.63899318958738e-09,4.91525309342933e-09
"318",4.63768579095358e-09,4.86172790914452e-09
"319",4.63637839231978e-09,4.87741536048247e-09
"320",4.63512783710485e-09,4.90050178214574e-09
"321",4.63376359505219e-09,4.84126339017621e-09
"322",4.63245619641839e-09,4.89539786485693e-09
"323",4.63109195436573e-09,4.87469931087503e-09
"324",4.62978455573193e-09,4.78956474481151e-09
"325",4.62842031367927e-09,4.77125450260019e-09
"326",4.62705607162661e-09,4.69534544578210e-09
"327",4.62563498615509e-09,4.70494532223142e-09
"328",4.62427074410243e-09,4.76863215581602e-09
"329",4.62290650204977e-09,4.68719729695977e-09
"330",4.62148541657825e-09,4.68148408927505e-09
"331",4.62012117452559e-09,4.77565631484822e-09
"332",4.61875693247293e-09,4.71248462474705e-09
"333",4.61733584700141e-09,4.71960248660253e-09
"334",4.61597160494875e-09,4.80576733963289e-09
"335",4.61460736289609e-09,4.83747042423488e-09
"336",4.61318627742457e-09,4.82993112171926e-09
"337",4.61182203537192e-09,4.84388618104958e-09
"338",4.61045779331926e-09,4.87535478654877e-09
"339",4.6090935512666e-09,4.88472062798451e-09
"340",4.6077861526328e-09,4.93421836722518e-09
"341",4.60642191058014e-09,4.96400165417299e-09
"342",4.60511451194634e-09,4.95444840709069e-09
"343",4.60375026989368e-09,4.95978724757151e-09
"344",4.60244287125988e-09,4.99776486861947e-09
"345",4.60119231604494e-09,4.98839947127294e-09
"346",4.59988491741115e-09,4.99748420423884e-09
"347",4.59863436219621e-09,4.99102181805711e-09
"348",4.59732696356241e-09,4.93393770284456e-09
"349",4.59607640834747e-09,4.94864149658270e-09
"350",4.59488269655139e-09,4.95430807490038e-09
"351",4.59363214133646e-09,4.90504437067329e-09
"352",4.59243842954038e-09,4.8431836319196e-09
"353",4.5912447177443e-09,4.85699791497041e-09
"354",4.59010784936709e-09,4.87980367225305e-09
"355",4.58891413757101e-09,4.87942886095993e-09
"356",4.58777726919379e-09,4.8603698843408e-09
"357",4.58669724423544e-09,4.79420059207314e-09
"358",4.58556037585822e-09,4.77673367527132e-09
"359",4.58448035089987e-09,4.80052264606456e-09
"360",4.58345716936037e-09,4.78862816066794e-09
"361",4.58237714440202e-09,4.82150186442709e-09
"362",4.58135396286252e-09,4.82698059300901e-09
"363",4.58038762474189e-09,4.76867878518306e-09
"364",4.57942128662125e-09,4.78314898799681e-09
"365",4.57845494850062e-09,4.83021178609988e-09
"366",4.57754545379885e-09,4.81349404779507e-09
"367",4.57663595909708e-09,4.75135220057155e-09
"368",4.57578330781416e-09,4.72583083777067e-09
"369",4.57493065653125e-09,4.74030059649522e-09
"370",4.57407800524834e-09,4.7307011641351e-09
"371",4.57328219738429e-09,4.73992622929131e-09
"372",4.5725432329391e-09,4.69820182757985e-09
"373",4.57180426849391e-09,4.70279104547444e-09
"374",4.57106530404872e-09,4.75725281390282e-09
"375",4.57038318302239e-09,4.74526462568292e-09
"376",4.56970106199606e-09,4.79162487465601e-09
"377",4.56907578438859e-09,4.779496798335e-09
"378",4.56845050678112e-09,4.79368544858971e-09
"379",4.56782522917365e-09,4.86903317664655e-09
"380",4.56725679498504e-09,4.85615503365011e-09
"381",4.56674520421529e-09,4.8518939976816e-09
"382",4.56623361344555e-09,4.92129359486171e-09
"383",4.5657220226758e-09,4.95805441147468e-09
"384",4.56526727532491e-09,4.90968021793492e-09
"385",4.56486937139289e-09,4.88017803945695e-09
"386",4.564414624042e-09,4.904201489353e-09
"387",4.56401672010998e-09,4.90846296941072e-09
"388",4.56367565959681e-09,4.87287277195492e-09
"389",4.56333459908365e-09,4.88439289014764e-09
"390",4.56299353857048e-09,4.90078289061557e-09
"391",4.56270932147618e-09,4.90125096064276e-09
"392",4.56242510438187e-09,4.9118344946919e-09
"393",4.56214088728757e-09,4.83442663679057e-09
"394",4.56191351361213e-09,4.81208939362432e-09
"395",4.56168613993668e-09,4.84749174134436e-09
"396",4.5615156096801e-09,4.74868322442035e-09
"397",4.56134507942352e-09,4.70063721280667e-09
"398",4.56117454916694e-09,4.68836791611693e-09
"399",4.56106086232921e-09,4.68260807906518e-09
"400",4.56094717549149e-09,4.6876182935307e-09
"401",4.56083348865377e-09,4.60379512290388e-09
"402",4.56077664523491e-09,4.59105775618696e-09
"403",4.56066295839719e-09,4.6518882079738e-09
"404",4.56066295839719e-09,4.60131310831002e-09
"405",4.56060611497833e-09,4.55443771585351e-09
"406",4.56060611497833e-09,4.55921433939466e-09
"407",4.56066295839719e-09,4.57532323139276e-09
"408",4.56066295839719e-09,4.61419125130647e-09
"409",4.56071980181605e-09,4.65970861895926e-09
"410",4.56077664523491e-09,4.71730832174444e-09
"411",4.56089033207263e-09,4.67024507955216e-09
"412",4.56100401891035e-09,4.69258232271841e-09
"413",4.56111770574807e-09,4.78169770445902e-09
"414",4.5612313925858e-09,4.78895589850481e-09
"415",4.56140192284238e-09,4.81719375500234e-09
"416",4.56157245309896e-09,4.84131046363245e-09
"417",4.56174298335554e-09,4.8928221474398e-09
"418",4.56197035703099e-09,4.9503277033125e-09
"419",4.56219773070643e-09,4.98596453013533e-09
"420",4.56242510438187e-09,5.01733943281124e-09
"421",4.56270932147618e-09,4.96826313423071e-09
"422",4.56299353857048e-09,4.96756058510073e-09
"423",4.56327775566479e-09,5.00071539732971e-09
"424",4.56356197275909e-09,4.95618124318753e-09
"425",4.56390303327225e-09,4.93590412986578e-09
"426",4.56424409378542e-09,4.89240026269044e-09
"427",4.56458515429858e-09,4.86060391935439e-09
"428",4.56498305823061e-09,4.81808326568967e-09
"429",4.56538096216264e-09,4.73486849728033e-09
"430",4.56577886609466e-09,4.73018602065167e-09
"431",4.56623361344555e-09,4.70700545207592e-09
"432",4.56668836079643e-09,4.64472371675129e-09
"433",4.56714310814732e-09,4.63245442006155e-09
"434",4.56765469891707e-09,4.58571935979535e-09
"435",4.56816628968681e-09,4.54020199214256e-09
"436",4.56873472387542e-09,4.5257317893288e-09
"437",4.56924631464517e-09,4.49838388760782e-09
"438",4.56981474883378e-09,4.46602488324288e-09
"439",4.57044002644125e-09,4.45534809045967e-09
"440",4.57100846062986e-09,4.50831150189401e-09
"441",4.57163373823732e-09,4.53186643767367e-09
"442",4.57231585926365e-09,4.62285454361222e-09
"443",4.57294113687112e-09,4.66766980622424e-09
"444",4.57362325789745e-09,4.64022775759076e-09
"445",4.57436222234264e-09,4.66167549006968e-09
"446",4.57504434336897e-09,4.68597960434636e-09
"447",4.57578330781416e-09,4.77303441215327e-09
"448",4.57652227225935e-09,4.81831730070326e-09
"449",4.5773180801234e-09,4.81738116064889e-09
"450",4.57805704456860e-09,4.88111506768973e-09
"451",4.57885285243265e-09,4.88340923254782e-09
"452",4.57970550371556e-09,4.83648676663506e-09
"453",4.58050131157961e-09,4.92836527143936e-09
"454",4.58135396286252e-09,4.95482321838381e-09
"455",4.58220661414543e-09,4.89979967710497e-09
"456",4.58305926542835e-09,4.86252371700857e-09
"457",4.58391191671126e-09,4.85461004728904e-09
"458",4.58482141141303e-09,4.88710893975508e-09
"459",4.5857309061148e-09,4.93211116392445e-09
"460",4.58664040081658e-09,4.94035301557005e-09
"461",4.58754989551835e-09,4.84060791450247e-09
"462",4.58851623363898e-09,4.79705697387089e-09
"463",4.58942572834076e-09,4.75870454152982e-09
"464",4.59039206646139e-09,4.74601424826915e-09
"465",4.59135840458202e-09,4.7558947890991e-09
"466",4.59232474270266e-09,4.74165862129894e-09
"467",4.59334792424215e-09,4.68181182711191e-09
"468",4.59431426236279e-09,4.64214799933416e-09
"469",4.59533744390228e-09,4.65816363259819e-09
"470",4.59636062544178e-09,4.62280791424519e-09
"471",4.59732696356241e-09,4.60374849353684e-09
"472",4.5983501451019e-09,4.59723903389886e-09
"473",4.5993733266414e-09,4.54586812637103e-09
"474",4.60039650818089e-09,4.545821497004e-09
"475",4.60141968972039e-09,4.55940174504121e-09
"476",4.60244287125988e-09,4.53027393376715e-09
"477",4.60346605279938e-09,4.55026993861907e-09
"478",4.60448923433887e-09,4.62744376150681e-09
"479",4.60551241587837e-09,4.6725867619557e-09
"480",4.60653559741786e-09,4.65343363842408e-09
"481",4.60755877895735e-09,4.64467664329504e-09
"482",4.60852511707799e-09,4.70325911550162e-09
"483",4.60954829861748e-09,4.7190873431191e-09
"484",4.61057148015698e-09,4.74465622346543e-09
"485",4.61153781827761e-09,4.75149297685107e-09
"486",4.61250415639824e-09,4.7219907983731e-09
"487",4.61352733793774e-09,4.7949968440264e-09
"488",4.61449367605837e-09,4.82047157746024e-09
"489",4.61546001417901e-09,4.81789630413232e-09
"490",4.61636950888078e-09,4.80651696221912e-09
"491",4.61733584700141e-09,4.7972914529737e-09
"492",4.61830218512205e-09,4.79078199333571e-09
"493",4.61921167982382e-09,4.80089745735768e-09
"494",4.62012117452559e-09,4.82047157746024e-09
"495",4.62103066922737e-09,4.77654626962476e-09
"496",4.62194016392914e-09,4.78801931436124e-09
"497",4.62279281521205e-09,4.7668997638084e-09
"498",4.62364546649496e-09,4.77008388344302e-09
"499",4.62455496119674e-09,4.79705697387089e-09
"500",4.62540761247965e-09,4.66219063355311e-09
"501",4.6262034203437e-09,4.63011318174722e-09
"502",4.62705607162661e-09,4.69417482662493e-09
"503",4.62785187949066e-09,4.64706495506562e-09
"504",4.62864768735471e-09,4.64814231548871e-09
"505",4.62944349521877e-09,4.69665639712957e-09
"506",4.63023930308282e-09,4.6316586121975e-09
"507",4.63103511094687e-09,4.56862681019743e-09
"508",4.63177407539206e-09,4.59831639432196e-09
"509",4.63256988325611e-09,4.54975479513564e-09
"510",4.6333088477013e-09,4.51350956609531e-09
"511",4.63399096872763e-09,4.48695747223837e-09
"512",4.63472993317282e-09,4.50882664537744e-09
"513",4.63546889761801e-09,4.58089566279796e-09
"514",4.63615101864434e-09,4.56792470515666e-09
"515",4.63683313967067e-09,4.6363881622824e-09
"516",4.637515260697e-09,4.69337857467167e-09
"517",4.63819738172333e-09,4.69464289665211e-09
"518",4.63887950274966e-09,4.73847450166431e-09
"519",4.63956162377599e-09,4.73515004983938e-09
"520",4.64018690138346e-09,4.73257433242225e-09
"521",4.64081217899093e-09,4.76301309504379e-09
"522",4.6414374565984e-09,4.76062478327322e-09
"523",4.64206273420587e-09,4.87376272673146e-09
"524",4.64268801181333e-09,4.91890528309114e-09
"525",4.6433132894208e-09,4.80042894324129e-09
"526",4.64388172360941e-09,4.83835993492221e-09
"527",4.64450700121688e-09,4.84978635029165e-09
"528",4.64507543540549e-09,4.85076956380226e-09
"529",4.6456438695941e-09,4.8431836319196e-09
"530",4.6462123037827e-09,4.73730388250715e-09
"531",4.64678073797131e-09,4.73697614467028e-09
"532",4.64729232874106e-09,4.69820182757985e-09
"533",4.64786076292967e-09,4.64369342978443e-09
"534",4.64837235369941e-09,4.60112570266347e-09
"535",4.64888394446916e-09,4.51842652182677e-09
"536",4.64939553523891e-09,4.4982435554175e-09
"537",4.6498502825898e-09,4.4670085408427e-09
"538",4.65036187335954e-09,4.44888570427793e-09
"539",4.65081662071043e-09,4.46691483801942e-09
"540",4.65132821148018e-09,4.46733627867957e-09
"541",4.65178295883106e-09,4.48264936281362e-09
"542",4.65218086276309e-09,4.49356019061042e-09
"543",4.65263561011398e-09,4.5286352445828e-09
"544",4.65309035746486e-09,4.54235582481033e-09
"545",4.65348826139689e-09,4.55954207723153e-09
"546",4.65388616532891e-09,4.6287551569435e-09
"547",4.65428406926094e-09,4.63582594534273e-09
"548",4.65468197319296e-09,4.64884442052949e-09
"549",4.65507987712499e-09,4.64935956401291e-09
"550",4.65542093763816e-09,4.67820626681714e-09
"551",4.65576199815132e-09,4.69408067971244e-09
"552",4.65610305866448e-09,4.62182425664537e-09
"553",4.65644411917765e-09,4.62735005868353e-09
"554",4.65672833627195e-09,4.64093030672075e-09
"555",4.65706939678512e-09,4.67164973372292e-09
"556",4.65735361387942e-09,4.68700989131321e-09
"557",4.65763783097373e-09,4.61882709856809e-09
"558",4.65786520464917e-09,4.60098537047315e-09
