"","zSensr","defl"
"166",-4.62623539476681e-08,1.84664283864322e-10
"167",-4.62622971042492e-08,2.55328647114084e-10
"168",-4.62622402608304e-08,2.58559840204953e-10
"169",-4.62621834174115e-08,9.47997236266929e-11
"170",-4.62621265739926e-08,8.14459610865015e-13
"171",-4.62620128871549e-08,-1.54937840335378e-10
"172",-4.62619560437361e-08,-2.48220555221224e-10
"173",-4.62618992003172e-08,-1.9530377315391e-10
"174",-4.62618423568983e-08,-1.74933401098087e-10
"175",-4.62617855134795e-08,-6.55884235811754e-11
"176",-4.62617286700606e-08,1.42237333022877e-10
"177",-4.62616149832229e-08,2.41748399076869e-10
"178",-4.6261558139804e-08,2.12761364082326e-10
"179",-4.62615012963852e-08,2.07048156397605e-10
"180",-4.62614444529663e-08,1.99976923909162e-10
"181",-4.62614444529663e-08,1.30015109789383e-10
"182",-4.62613876095475e-08,7.31650295904274e-11
"183",-4.62613307661286e-08,8.18749512632166e-11
"184",-4.62612739227097e-08,1.6921086753996e-10
"185",-4.62612739227097e-08,1.29078525645809e-10
"186",-4.62612170792909e-08,-1.60436108842532e-11
"187",-4.6261160235872e-08,-1.29931176928721e-10
"188",-4.6261160235872e-08,-2.21434426350697e-10
"189",-4.62611033924532e-08,-1.81629822293417e-10
"190",-4.62611033924532e-08,-2.27194263402453e-10
"191",-4.62610465490343e-08,-2.16891837823141e-10
"192",-4.62610465490343e-08,-1.11574305350359e-10
"193",-4.62610465490343e-08,-9.37325772554232e-11
"194",-4.62610465490343e-08,-3.5805580722581e-11
"195",-4.62609897056154e-08,-4.65760763290746e-11
"196",-4.62609897056154e-08,-6.21231954767154e-11
"197",-4.62609897056154e-08,-1.22578835970444e-10
"198",-4.62609897056154e-08,-3.26658700089411e-10
"199",-4.62609897056154e-08,-2.81562329007556e-10
"200",-4.62609897056154e-08,-1.62804880687872e-10
"201",-4.62609897056154e-08,-2.37309283335208e-10
"202",-4.62609897056154e-08,-1.60744306754168e-10
"203",-4.62609897056154e-08,1.4441781104324e-11
"204",-4.62610465490343e-08,3.1561420144044e-12
"205",-4.62610465490343e-08,-1.27261756688313e-10
"206",-4.62610465490343e-08,-1.08155706612933e-10
"207",-4.62610465490343e-08,-5.3366200347682e-11
"208",-4.62611033924532e-08,-1.13306697357984e-10
"209",-4.62611033924532e-08,-1.52478030202019e-11
"210",-4.62611033924532e-08,9.94826443445618e-11
"211",-4.6261160235872e-08,1.3458567593716e-11
